name,address,latitude,longitude,phone,overview,Total Sites,Overnight Sites,Seasonal Sites,Maximum Amperage,Electrical / Water / Sewer,Electrical / Water,Electrical,No Services,Min / Max (Daily),Max length (of RV),activities,Accessible facilities,Credit/debit cards,Dumping (station or mobile),Group camping,Internet (WiFi at site),Laundromat,Pet-friendly,Planned activities/events,Playground,Pull-thru sites,Rec hall/games room,Restaurant/snack bar,Store,Swimming (outdoor pool),Toilets/showers (comfort station),"Boating (marina, boat launch, or docks)",Cable TV (at site),Controlled access,Hot tub,Internet (hot spot),Propane,Swimming (indoor pool),"Swimming (lake, river, or beach)",Toilets (pit/outhouse)
Black Bear Campground,"154 Lieven Rd, Petawawa, Ontario, K8H 2X3",45.90899,-77.28459,613-687-7268,"Located on the Ottawa River, community beach. Small gift and info shop. New large playground/gazebo and a comfort centre with shower facilities, laundry and washrooms. Offers great swimming and outstanding views of wildlife and vistas. We offer discounts for military, retired military and DND employees.",124,30,94,30,0,109,0,15,$35 / $40,35 ft,"Activities In or Around the Campground:Boat rental (non-motorized), Cycling, Fishing, Golf, Volleyball",1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1
Black Donald Tent & Trailer Park,"628 Black Donald Rd, RR 3, Calabogie, Ontario, K0J 1H0",45.22438,-76.90351,613-752-2513,"Black Donald Tent & Trailer Park is situated on the southeast corner of Black Donald/Centennial Lake. This beautiful waterway is 27 miles long, and is part of the Madawaska River system, which connects from Bark Lake and flows into the Ottawa River. It offers an abundance of watersports, from kayaking and canoeing to boating and fishing.",99,32,67,15,0,49,0,50,$32 / $35,40 ft,"Activities In or Around the Campground:Boat rental (motorized), Cycling, Fishing, Swimming (lake, river), Walking/hiking trails",0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
Black River Wilderness Park,"7476 Simcoe County Rd 169, Ramara, Ontario, L3V 6H6",44.71875,-79.28504,705-689-2502,"Beautiful riverfront setting in Lake Country, conveniently located on County Rd 169 on the way to Muskoka. Mature forest and island camping with walking-bridge access. Full-service sites available for overnights, along with cabins. Close access to Casino Rama for entertainment and dining. Convenience store on premises, and washroom and showers.",105,105,0,30,0,75,0,30,$38 / $65,35 ft,"Activities In or Around the Campground:Casino, Day use, Fishing, Swimming (lake, river), Walking/hiking trails",1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
Blairton Tent and Trailer Park,"64 Blairton Tent and Trailer Park Rd, Havelock, Ontario, K0L 1Z0",44.46587,-77.76273,705-778-2557,"Looking for memorable camping? Visit us in Havelock, off Highway 7, on beautiful Crowe Lake. Overnight, weekend, weekday/seasonal sites. Rent cabins/trailers, cabins with cable TV, boats/pedal go-karts. Great fishing, in-ground saltwater pool, playground, store/restaurant, ATVs welcome.",144,14,130,30,140,4,0,0,$35 / $35,,"Activities In or Around the Campground:ATV-friendly, Boat rental (motorized), Boat rental (non-motorized), Swimming (lake, river), Volleyball",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0
Blue Heron Trailer Park,"2093 Lakeshore Rd, Dunnville, Ontario, N1A 2W8",42.84359,-79.76223,905-774-3800,"Blue Heron Trailer Park is an adult-lifestyle trailer campground offering modern washrooms with hot water and showers, large landscaped lots with attractive fire pits and patios, and beautifully maintained gardens. Cottage rental available on a weekly basis. Looking forward to newly designed/developed 50-amp service sites. See website for details.",49,0,49,30,49,0,0,0,$ / $,35 ft,"Activities In or Around the Campground:Farmers' market/stands, Fishing, Golf, Restaurants, Shopping",1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0
Blue Water Lakes Campground,"502141 Conc 10 NDR, RR 3, Elmwood, Ontario, N0G 1S0",44.26211,-80.92855,519-369-5425,"Blue Water Lakes is a fun place for the whole family. A hidden gem on the Bruce Peninsula with 96 acres of crystal-clear, stocked, spring-fed lakes, natural wildness bush, as well as 30 acres developed for your camping pleasure. We offer sandy beaches, a kids' playground and picnic areas, as well as a lakefront cabin rental. Events all season.",65,8,57,30,65,0,0,0,$32 / $52,35 ft,"Activities In or Around the Campground:Boat rental (non-motorized), Dances, Fishing, Horseshoes, Walking/hiking trails",1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1
Blueberry Hill Motel & Campground,"2528D Hwy 17 N, Goulais River, Ontario, P0S 1E0",46.71135,-84.34464,705-649-5631,"Family-oriented campground. Spacious sites with mature trees, indoor pool, beach and river access. Hiking, biking and ATV trails. Theme weekends and children's activities. Large hall perfect for gatherings. Trailers, cottage and motel-room rentals. Minutes from Lake Superior. On parle français. Hosts: Diane, Ernest and Luke. Open year-round.",111,26,85,30,85,13,0,13,$30 / $50,46 ft,"Activities In or Around the Campground:ATV-friendly, Casino, Snowmobiling, Walking/hiking trails, Ziplining",1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0
Bluewater Golf Course & Campground,"77416 Bluewater Hwy, RR 1, Bayfield, Ontario, N0M 1G0",43.58903,-81.70712,519-482-7197,"Bluewater Golf Course & Campground is located 1 mile north of Bayfield on Highway 21. Come golf, shop, eat, fish and boat in one of Lake Huron's finest resort towns.",117,1,116,30,117,0,0,0,$45 / $45,45 ft,"Activities In or Around the Campground:Casino, Fishing, Golf, Museum/heritage sites, Theatre (live)",0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
Bona Vista Campground,"18070 A Hwy 17, Cobden, Ontario, K0J 1K0",45.64099,-76.88941,613-646-2716,"Bona Vista Campground is a family-oriented campground located on Muskrat Lake in Cobden, Ontario, 1.5 hours west of Ottawa. It is a seasonal vacation park with sites also available for weekend campers. The campground has large treed lots, a sandy beach, salt-heated pool and offers excellent fishing. Your host Louise welcomes you! Bilingual.",150,48,102,50,130,20,0,0,$35 / $45,40 ft,"Activities In or Around the Campground:Farmers' market/stands, Whitewater rafting, Fishing, Horseshoes, Restaurants",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0
Braemar Valley Park,"RR 3 (495856), Woodstock, Ontario, N4S 7V7",43.19579,-80.82676,519-462-2977,"50-plus lifestyle; the ultimate in seniors' living. Located in a picturesque, quiet valley setting. No tent sites.",70,6,64,30,70,0,0,0,$25 / $25,30 ft,"Activities In or Around the Campground:Dances, Fitness, Golf",1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Breezy Hill Camping & RV Park,"3798 Grainger Park Rd, Kinburn, Ontario, K0A 2H0",45.34528,-76.20433,613-839-5202,"Located 25 minutes from Ottawa and close to Highway 417. Your hosts Phil and Sophie would like to welcome you to our bilingual family campground, formerly known as Grainger Park. Spacious sites, in-ground pool, activities etc.",137,15,122,30,137,0,0,0,$45 / $45,50 ft,"Activities In or Around the Campground:Golf, Swimming (lake, river), Volleyball",0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0
Brennan Harbour RV Park,"B-308 Brennan Harbour Rd, Spanish, Ontario, P0P 2A0",46.18975,-82.39012,705-806-4299,"Beautiful Canadian wilderness getaway, great fishing, on the shores of Georgian Bay, fantastic panoramic views, tree-covered, spacious sites. Our sites have hydro and water, with pump-outs included for all seasonal stays. Dump station is available. Brennan Harbour RV Park is the BEST place for your next stay. Wir sprechen ein bisschen Deutsch hier!",30,6,24,50,0,30,0,0,$40 / $60,50 ft,"Activities In or Around the Campground:ATV-friendly, Boat rental (motorized), Fishing, Golf, Swimming (lake, river)",1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
Buckhorn Narrows Resort Ltd,"352 Buckhorn Narrows Rd, PO Box 99, Buckhorn, Ontario, K0L 1J0",44.52289,-78.37093,705-657-8802,"We are located on the upper part of Buckhorn Lake, which offers the largest area for boating and excellent fishing opportunities for species of fish, including muskie, northern walleye, bass and pan fish.All modern cottages boast spectacular lake views.120 acres of beautiful, unspoiled countryside that is lovingly nurtured for your enjoyment.",115,0,115,30,115,0,0,0,$2200 / $3000,45 ft,"Activities In or Around the Campground:Boat rental (motorized), Boat rental (non-motorized), Dances, Fishing, Golf",1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0
Butterfly Lake Resort,"1072 Whites Rd, RR 3, Port Carling, Ontario, P0B 1J0",45.12393,-79.58187,705-765-3927,"Seasonal camping on large, treed sites. Clean and quiet.Full hookup sites, 30 amp hydro, water and sewer. No tent sites.8 km from Port Carling and Bala.Sandy beach, paddleboarding, canoeing, fishing, to name just a few activities.Great golf, restaurants and shopping, all just minutes away.In the heart of Muskoka ... Hwys 169 and 118 on Whites Rd.",96,10,86,30,96,0,0,0,$55 / $75,,"Activities In or Around the Campground:Fishing, Fitness, Swimming (lake, river), Volleyball, Water skiing",1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0
Cadigan's Camp and Cottages,"305 Cadigan Rd, Ennismore, Ontario, K0L 1T0",44.46655,-78.47416,705-292-9403,"We are located on the border of Pigeon Lake and Buckhorn Lake, with 2 natural sand beaches and 2 shelter docking areas. Come and stay in our 1-, 2-, 3-, or 5-bedroom cottages for a week (starting at $75 a night).",60,8,52,30,52,8,0,0,$44 / $44,,"Activities In or Around the Campground:Boat rental (motorized), Golf, Horseback riding, Restaurants, Walking/hiking trails",0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0
Cameron's Beach Campground,"1011 Cameron Ave, Iroquois Falls, Ontario, P0K 1G0",48.78478,-80.80077,705-232-4905,"Situated on beautiful Big Nellie Lake in northeast Ontario. Although the park has a natural setting of tall jack pine inhabiting the forest, you are only a 10-minute drive from the town of Iroquois Falls and a 30-minute drive from Cochrane, the home of the famous Polar Bear Express and Habitat.",120,20,100,30,60,60,0,0,$35 / $40,40 ft,"Activities In or Around the Campground:Boat rental (motorized), Boat rental (non-motorized), Fishing, Motorboats allowed, Swimming (lake, river)",0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1
Camp Ashtabula,"626 Elim Lodge Rd, Lakehurst, Ontario, K0L 1J0",44.4872,-78.48238,705-657-8521,"Picturesque resort 100 miles east of Toronto in the heart of the Kawarthas on Pigeon Lake. Seasonal trailer park. Modern, fully equipped housekeeping cottages, lake view, decks, sandy beach, boat and motor rental, great fishing!",65,0,65,30,65,0,0,0,$ / $,,"Activities In or Around the Campground:Basketball, Boat rental (motorized), Fishing, Horseshoes, Volleyball",0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Camp Barcovan Tent & RV Resort,"133 Carter Rd, Carrying Place (Quinte West), Ontario, K0K 1L0",44.03374,-77.62948,613-475-1355,"A family campground where you can enjoy the relaxing serenity of Quinte West and lavish thrills of Prince Edward County. Visit us for the renowned fishing, the exquisite wineries, or just to relax with friends. We have rental cabins, seasonal and overnight RV sites, tent sites and a host of amenities so you can enjoy a memorable family vacation.",160,40,120,30,120,20,0,20,$30 / $60,45 ft,"Activities In or Around the Campground:Boat rental (non-motorized), Cycling, Fishing, Golf, Wine tours",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1
Camp Hillbilly Estates,"1633 Hwy 11 S, Kilworthy, Ontario, P0E 1G0",44.84431,-79.31974,705-689-2366,"Family camping at its best in beautiful Muskoka! We offer large wooded sites, hiking trails, free mini-golf, a playground, sports facilities and a saltwater pool. And don't forget our cottages and sleeping cabins. There are many planned activities on the weekends, and a daily tractor ride in July and August. We hope to welcome you soon.",263,58,205,30,220,16,1,26,$40 / $60,40 ft,"Activities In or Around the Campground:Boat tours (scenic), Farmers' market/stands, Mountain biking, Wine tours, Ziplining",1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0
Camping Domaine Chartrand,"2775 Chartrand Rd, Lefaivre, Ontario, K0B 1J0",45.6278,-74.77563,613-679-2687,"Situated on a pristine peninsula of the Ottawa River, the area is renowned for its excellent bass and walleye fishing. Beautiful views of the Gatineau Hills and amazing sunrise on the waterfront. All campsites are surrounded by large beautiful trees, and are equipped with 3 services (hydro, sewer, water) and fire pit. Bilingual friendly owners.",121,25,96,30,120,1,0,0,$30 / $45,45 ft,"Activities In or Around the Campground:Fishing, Golf, Museum/heritage sites, Water park, Wildlife viewing/birding",1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
Campinn On Duck Lake,"2612 Victoria Rd 35, Kawartha Lakes-Kirkfield, Ontario, K0M 2B0",44.6622,-78.96945,905-294-2900,"115 km from Toronto on Duck Lake. Full-featured park offers large sites, 30-amp power and water, store, swimming, pool, playgrounds, horseshoes, hayrides, washrooms with showers, laundry. Boat launch and more.",550,50,500,30,0,550,0,0,$40 / $40,40 ft,"Activities In or Around the Campground:Casino, Fishing, Golf, Horseshoes, Wildlife viewing/birding",1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0
Candlelight on the Bay,"545 Centre Rd, McKellar, Ontario, P2A 0B4",45.4722,-79.86144,705-203-9923,"Family camping where you can relax and unwind on beautiful Lake Manitouwabing. The washroom facilities are clean and well-maintained, with hot showers. Canoe, paddleboat or motorboat. Go for a swim in our natural swimming area or wander the woods and reconnect to nature. Close to grocery, hardware, fishing tackle, firewood and LCBO.",76,0,76,30,14,62,0,0,$ / $,40 ft,"Activities In or Around the Campground:ATV-friendly, Fishing, Golf, Motorboats allowed, Theatre (live)",1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
Canoe Lake Campground,"10434 Canoe Lake Rd, Godfrey, Ontario, K0H 1T0",44.61772,-76.5287,613-273-5232,"Quiet, clean family park offering seasonal camping and cottage rentals. 300 acres of rocky hills, forested ravines, beaver ponds, level land and sand beaches jutting into crystal-clear Canoe Lake. A haven for lake trout, northern pike and bass. Close to Frontenac Provincial Park.",67,0,67,30,59,0,0,8,$ / $,38 ft,"Activities In or Around the Campground:Boat rental (non-motorized), Fishing, Golf, Motorboats allowed, Walking/hiking trails",0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Casey's Park,"333585 Plank Line, RR 1, Salford, Ontario, N0J 1W0",42.98428,-80.81323,519-485-3992,"Casey's Park is a quiet, family-run park with well-kept grounds and facilities. The park is known for its country music jams on stage every Friday night, starting on the May long weekend and running until Labour Day. We have a very friendly, quiet group of seasonal campers who make the park a welcoming place to visit for a few nights or a season.",70,15,55,30,34,32,0,4,$27.00 / $40.00,55 ft,"Activities In or Around the Campground:Farmers' market/stands, Golf, Music Festival, Walking/hiking trails, Water park",0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Castleton Hills RV Park,"103 Park Rd, Castleton, Ontario, K0K 1M0",44.09538,-77.95096,905-344-7838,"Under new ownership. 10 km north of Hwy 401, exit 497 to Castleton. North through town on 22 to sign. Beautiful treed park. 2 sandy beaches, horseshoes, volleyball. Lots of family friendly activities. May to Thanksgiving weekly/monthly/seasonal rates. Please check website for rates.",80,10,70,30,70,0,0,10,$35 / $70,36 ft,"Activities In or Around the Campground:Basketball, Cycling, Fishing, Swimming (lake, river), Walking/hiking trails",0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
Caswell's Trailer Park,"34 Sallows Dr, Victoria Harbour, Ontario, L0K 2A0",44.74089,-79.75005,705-534-7101,"Family camping off Hwy 12 at Caswell's Rd, 2 miles east of Victoria Harbour. Direct entry to Georgian Bay from our protected harbour, sandy beach, docking, playground. Backs onto walking and biking trails. Hosts: Kevin and Susan Fitzgerald.",28,0,28,30,28,0,0,0,$50 / $50,32 ft,"Activities In or Around the Campground:Fishing, Golf, Restaurants, Swimming (lake, river), Walking/hiking trails",0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Cedar Cove Campground,"79 Carter Rd, Carrying Place (Quinte West), Ontario, K0K 1L0",44.03003,-77.6276,613-475-1620,"Cedar Cove Campground, at Carrying Place near Trenton, is on Weller's Bay. It has 4 spectacular lakeview cottages and 2 park model trailer rental sites. Cedar Cove Campground has fishing on Weller's Bay with access to Lake Ontario: pickerel, bass and salmon. Fish-cleaning station on premises. Canoe/kayak/paddleboat rentals.",21,4,17,50,19,2,0,0,$42 / $42,38 ft,"Activities In or Around the Campground:Boat rental (non-motorized), Fishing, Golf, Motorboats allowed, Swimming (lake, river)",0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0
Cedar Cove Resort,"100 Cedar Cove Rd, RR 2, White Lake, Ontario, K0A 3L0",45.26193,-76.50634,613-623-3133,"Quality family resort 1 hour west of Ottawa on beautiful White Lake. Overnight camping May 1 to October 14. Cottages available until October 31.The Lakeside Grill open until October 31 then closing. Restaurant re-opening weekends beginning January 13, 2017.Great place to come fishing in the summer. Adam's Outfitting - ice shacks during the winter.",295,8,287,30,287,8,0,0,$55 / $65,44 ft,"Activities In or Around the Campground:Boat rental (motorized), Boat rental (non-motorized), Fishing, Fishing (guided), Restaurants",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0
Cedar Forest Park Campground,"10 Cedar Forest Park Rd, Mallorytown, Ontario, K0E 1R0",44.56705,-75.87527,613-923-5726,"5 km north of Brockville on Hwy 29 to Kilkenny Rd. Turn left, go to end. Turn right, go to end. Turn left and follow signs. Excellent swimming, boating and fishing. Enjoy the beautiful peace and quiet and the cry of the loon. Your hosts: Robert and Monia Desaulniers.",92,7,85,30,0,92,0,0,$35 / $39,38 ft,"Activities In or Around the Campground:Fishing, Horseshoes, Scuba diving, Swimming (lake, river), Volleyball",0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0
Cedar Grove Park on the Bay,"100 Cedar Grove Pkwy, Wasaga Beach, Ontario, L9Z 1T5",44.46944,-80.10791,705-429-2134,"Only family campground on Wasaga Beach with private beach and waterfront camping. 73 years in business. Ice cream shop with 25 flavours and a chip wagon. Quiet park. Full-service lots for trailers, 5th wheels and motorhomes. Tents welcome. Small dogs under 20 lb permitted. 19-hole mini-golf. ATM onsite. No boating or SeaDoos allowed.",150,90,60,30,140,0,0,10,$ / $,45 ft,"Activities In or Around the Campground:Cycling, Fishing, Golf (mini), Swimming (lake, river), Walking/hiking trails",0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
Cedar Pines RV Park,"403541 Grey Rd 4, RR 1, Priceville, Ontario, N0C 1K0",44.18924,-80.75672,519-369-5158,"We offer 21 sites, all with water, electric (30 amps) and sewage hookups. Our campsites are nestled in a small forest of cedar and pines, which provides a tranquil, peaceful environment. We have a 2-acre, spring-fed pond for swimming, with a small sandy beach. We also have a creek that wraps around the east side of the campground.",21,8,13,30,21,0,0,0,$45 / $55,40 ft,"Activities In or Around the Campground:Badminton, Fishing, Horseshoes, Swimming (lake, river), Volleyball",1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Cedar Rail Family Campground,"015259 Grey Bruce Line, RR 3, Chesley, Ontario, N0G 1L0",44.31117,-81.07445,519-363-3387,"We are a 3-season family campground that provides a relaxing and enjoyable atmosphere. Enjoy a weekend or the entire camping season. Relax in our heated pool or our pond, with its water trampoline and climbing slide. Games room, mini-golf, playground, dog park and camp store. We offer camp sites as well as cottage and cabin rentals!",233,66,167,50,198,32,0,3,$25 / $52,50 ft,"Activities In or Around the Campground:Boat rental (non-motorized), Fishing, Golf (mini), Horseshoes, Swimming (lake, river)",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0
Cedar Shade Campground,"530 Peladeau Rd, Alfred, Ontario, K0B 1A0",45.58027,-74.83756,613-679-4447,"Friendly family getaway. Rustic setting. 45 minutes from Ottawa and Montreal off Highway 17 in Alfred. Spacious open sites. Organized weekend activities. Daily, weekly, seasonal rates. Hosts: Josee and Sylvain Peladeau.",250,50,200,30,250,0,0,0,$49 / $55,,"Activities In or Around the Campground:Dances, Horseshoes, Skateboard/rollerblade park, Volleyball, Water park",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1
Century Beach Park,"2057 Lakeshore Rd, RR 9, Dunnville, Ontario, N1A 2W8",42.85432,-79.71611,905-774-3879,"Located between Selkirk and Dunnville on Lakeshore Road at Wardell's Creek. Tranquil and spacious, featuring walking trails, a private sandy beach on Lake Erie and many other natural attractions. Ideal for nature enthusiasts. Seasonal.",97,0,97,30,97,0,0,0,$ / $,,"Activities In or Around the Campground:Dances, Fishing, Golf, Shuffleboard, Walking/hiking trails",0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
Chesley Lake Camp,"78 Camp Rd, RR 3, Allenford, Ontario, N0H 1A0",44.55729,-81.21181,519-934-2071,"Chesley Lake Camp seeks to provide a program consisting of recreational activities, spiritual enrichment and fellowship for all ages. Find an ideal mix of sports, dining, water recreation, walking trails, golf and activities for your whole family. Chesley Lake Camp is the perfect place for fun, relaxation and fellowship.",57,15,42,30,57,0,0,0,$ / $,38 ft,"Activities In or Around the Campground:Baseball, Boat rental (non-motorized), Fishing, Golf, Walking/hiking trails",1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0
Cobourg East Campground,"253 Benlock Rd, Grafton, Ontario, K0K 2G0",43.99221,-77.99958,905-349-2594,"A quiet family campground with generous campsites and a choice of sunny or shaded sites, pull-thru sites and scenic tent sites along the creek. Many planned weekend activities for all ages. Close to shopping, theatre, beach and local events and attractions.",146,61,85,30,16,107,0,23,$30 / $38,60 ft,"Activities In or Around the Campground:Badminton, Baseball, Basketball, Dances, Fishing",0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0
Colasante's RV Park & Marina,"97 Carter Rd, Carrying Place (Quinte West), Ontario, K0K 1L0",44.03089,-77.62785,613-475-4561,"A mature ADULT park, beautifully located on Weller's Bay just off Lake Ontario. We boast a range of amenities found only at the finest RV resorts. Situated between Trenton and Brighton, we are ideally located to take advantage of all the area has to offer.",34,3,31,30,34,0,0,0,$50 / $50,40 ft,"Activities In or Around the Campground:Wine tours, Farmers' market/stands, Fishing, Swimming (lake, river), Water skiing",0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0
Concordia Club Campground,"1212 Christner Rd, New Hamburg, Ontario, N3A 3K7",43.43039,-80.47758,519-745-5617,"The Concordia Club Campground, part of the Concordia Club celebrating German Heritage, offers seasonal and overnight camping on the Concordia Farm. Enjoy your stay with planned events, an outdoor pool, games, and fishing in a pet-friendly environment. Bring your RV or trailer and stay for a weekend or the whole season.",120,10,110,15,0,120,0,0,$30 / $30,35 ft,"Activities In or Around the Campground:Dances, Day use, Fishing, Volleyball",1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
Conestoga Family Camp Grounds Inc,"Lot 8772, RR 1, Moorefield, Ontario, N0G 2K0",43.84703,-80.67621,519-848-3640,"6 miles west of Arthur on County 109 (formerly Hwy 9). 1½ miles north on Conc 9. Heated pool, splash pad, large treed lots, 18-hole mini-golf, lots of sports equipment, planned activities. New and used trailer sales. Your hosts: the Barretts.",250,40,210,30,210,30,0,10,$40 / $45,44 ft,"Activities In or Around the Campground:Boat rental (non-motorized), Dances, Fishing, Golf (mini), Water park",1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0
Coral Park Campground,"7520 McNiven Rd, Campbellville, Ontario, L0P 1B0",43.43955,-79.96596,905-878-1484,"Coral Park is a seasonal only family campground located in the heart of the Niagara Escarpment approximately 1 hour east of Toronto near Milton, Ontario. The park has been owned and operated by the same family since 1971 and features large, well treed lots with full service including 30 amp hydro.",100,0,100,30,100,0,0,0,$ / $,40 ft,"Activities In or Around the Campground:Baseball, Cycling, Dances, Fishing, Horseshoes",0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
Credivale RV Park Ltd,"14158 Mississauga Rd, Caledon, Ontario, L7C 1W5",43.73709,-79.92562,905-703-8381,"North 25 km to 14158 Mississauga Road from Highway 401. Located on the Credit River, Caledon. May 1 to Thanksgiving. Limited overnight sites. Portable washrooms. For overnight reservations or seasonal site information, please contact Bernie Blanchard at 905-703-8381.",171,2,169,30,160,11,0,0,$40 / $40,35 ft,"Activities In or Around the Campground:Cycling, Dances, Farmers' market/stands, Fishing, Horseshoes",1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
Crystal Lake Campground/RV Park,"167 Hanslips Rd, Vermilion Bay, Ontario, P0V 2V0",49.82992,-93.45567,807-220-5467,"Best kept-secret in northwestern Ontario. Family camping at its best! Well-equipped playground. Horseshoes, volleyball, basketball, 4 km walking trail. Swim, canoe, bike, fish or just relax. 5 km west of Vermilion Bay, just 1/2 km down Hanslips Rd. WiFi available at no extra cost! Big-rig luxury, with paved roads and sites.",28,28,0,50,15,9,0,4,$35 / $45,100 ft,"Activities In or Around the Campground:Basketball, Fishing, Horseshoes, Swimming (lake, river), Walking/hiking trails",0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Davy Lake R&RV Campground and Resort,"400 Davy Lake Rd, Ignace, Ontario, P0T 1T0",49.41002,-91.65248,807-934-0914,"Located in the heart of northwestern Ontario's Sunset Country, only 2½ hr west of Thunder Bay and 4½ hr east of Winnipeg. Our full-service campground will meet all your needs. We offer a variety of outdoor activities and are conveniently located. Follow Trans-Canada to Davy Lake Rd, turn south on Davy Lake Rd, and follow for 0.5 km.",55,50,5,50,25,10,10,10,$28 / $50,175 ft,"Activities In or Around the Campground:ATV-friendly, Boat rental (non-motorized), Horseshoes, Hunting, Wildlife viewing/birding",0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1
Desert Lake Family Resort,"2466 Desert Lake Rd, Hartington, Ontario, K0H 1W0",44.51401,-76.59943,613-374-2196,"Under new ownership. Hwy 401, exit 611. Go north 27 km on Hwy 38, then 10 km east on Desert Lake Rd. Organized activities. Rent hydro-craft, pontoon boats, kayaks and canoes. Lakeshore efficiency units, 1-bedroom apartment-style units (newly upgraded) and our beach house that will accommodate 18! We specialize in reunions and family fun!",145,35,110,50,20,125,0,0,$45 / $59,42 ft,"Activities In or Around the Campground:Basketball, Boat rental (motorized), Fishing, Shuffleboard, Volleyball",1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0
Doe Lake Campground Rizzort,"882 Ferguson Rd, Katrine, Ontario, P0A 1L0",45.57326,-79.37182,705-382-2740,"Campground is located on the north shore of Little Doe Lake in Katrine. 105 full-service campsites on a hillside overlooking the water, 3 waterfront cottages, 80-boatslip marina, private sand beach. Great family camping in a hardwood forest on a fabulous lake. Pet-friendly. Your hosts: Anthony and Nancy Rizzo.",105,7,98,50,105,0,0,0,$50 / $50,40 ft,"Activities In or Around the Campground:ATV-friendly, Boat rental (motorized), Fishing, Horseshoes, Motorboats allowed",1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0
